"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Module"
"GO:0071805","potassium ion transmembrane transport","72/2482","219/18986",0.328767123287671,2.51489629441568,8.74418053324648,2.45998441707333e-14,9.09489268222045e-11,8.44410497403081e-11,"ABCC9/ATP1A2/ATP4A/CACNA1D/CAV3/DPP6/FXYD2/GALR2/HCN2/HCN3/HPN/KCNAB3/KCNC1/KCNE1/KCNE4/KCNE5/KCNG2/KCNG3/KCNH2/KCNH3/KCNH4/KCNH5/KCNH6/KCNH7/KCNIP2/KCNIP3/KCNIP4/KCNJ1/KCNJ10/KCNJ11/KCNJ13/KCNJ16/KCNJ5/KCNJ6/KCNJ9/KCNK10/KCNK12/KCNK15/KCNK2/KCNK3/KCNK5/KCNK7/KCNMA1/KCNMB3/KCNN1/KCNQ1/KCNQ2/KCNQ3/KCNQ4/KCNQ5/KCNRG/KCNS2/KCNT1/KCNV2/LRRC55/MCOLN3/NPPA/OPRK1/PKD2L1/RGS7/SLC12A1/SLC12A3/SLC12A5/SLC17A7/SLC24A3/SLC24A4/SLC9A2/SLC9A3/SLC9A4/SLC9C2/SNAP25/WNK4",72,"2"
"GO:0006813","potassium ion transport","78/2482","248/18986",0.314516129032258,2.40588365262146,8.64221737925035,3.09666077024871e-14,9.09489268222045e-11,8.44410497403081e-11,"ABCC9/ADORA1/ADRA2A/ATP1A2/ATP4A/CACNA1D/CAV3/CNGA4/CNGB1/DPP6/DRD3/FXYD2/GALR2/GCK/HCN2/HCN3/HPN/KCNAB3/KCNC1/KCNE1/KCNE4/KCNE5/KCNG2/KCNG3/KCNH2/KCNH3/KCNH4/KCNH5/KCNH6/KCNH7/KCNIP2/KCNIP3/KCNIP4/KCNJ1/KCNJ10/KCNJ11/KCNJ13/KCNJ16/KCNJ5/KCNJ6/KCNJ9/KCNK10/KCNK12/KCNK15/KCNK2/KCNK3/KCNK5/KCNK7/KCNMA1/KCNMB3/KCNN1/KCNQ1/KCNQ2/KCNQ3/KCNQ4/KCNQ5/KCNRG/KCNS2/KCNT1/KCNV2/LRRC55/MCOLN3/NPPA/OPRK1/PKD2L1/RGS7/SLC12A1/SLC12A3/SLC12A5/SLC17A7/SLC24A3/SLC24A4/SLC9A2/SLC9A3/SLC9A4/SLC9C2/SNAP25/WNK4",78,"2"
"GO:0003341","cilium movement","77/2482","258/18986",0.298449612403101,2.28298321558633,8.04630904936427,9.41420164865407e-13,1.84330068280647e-09,1.71140276286585e-09,"ARMC12/BBS1/C2CD6/CABYR/CATSPER1/CCDC38/CCDC63/CELF3/CELSR2/CFAP100/CFAP46/CFAP47/CFAP53/CFAP61/CFAP65/CFAP91/CFAP97D1/DDX4/DNAAF1/DNAAF4/DNAH6/DNAH9/DNAI1/DNAI2/DNAI3/DRC1/DRC7/EFCAB6/EFHB/FSIP2/GAS2L2/HOATZ/HYDIN/IQUB/IRGC/KLC3/LDHC/MAFIP/MEIG1/MNS1/NME5/ODAD1/ODAD2/ODAD3/PFN4/PLA2G3/RGN/RIBC1/RIBC2/RNASE10/ROPN1L/RSPH4A/RSPH6A/RSPH9/SEPTIN4/SLC22A14/SLC22A16/SPAG17/SPAG6/SPAG8/SPEM3/TAC1/TAC3/TACR2/TCTE1/TEKT1/TEKT2/TEKT3/TEKT5/TMEM232/TSSK4/TSSK6/TTC29/TTLL6/TTLL8/TTLL9/ZMYND10",77,"2"
"GO:0042391","regulation of membrane potential","116/2482","466/18986",0.248927038626609,1.9041614646917,7.66355083362896,2.20084478483685e-12,3.23194056653292e-09,3.00067811322098e-09,"ABCC9/ADORA1/ADRA1A/ADRB1/AGT/ALB/ASIC1/ATP1A2/BEGAIN/BEST2/CACNA1D/CACNA1I/CACNB2/CAV3/CELF4/CFTR/CHCHD10/CHRFAM7A/CHRM1/CHRNA10/CHRNA3/CHRNA4/CHRNB4/CLCN1/CLDN19/CLN3/CNGB1/CUX2/FKBP1B/FZD9/GABRB1/GABRP/GABRQ/GABRR1/GHRL/GLRA1/GNA15/GPR35/GPR88/GRIA4/GRID1/GRIK2/GRIK3/GRIN1/GRIN2A/GRIN2C/GRIN2D/GRIN3A/GRIN3B/GRM1/HCN2/HCN3/IGSF11/INSYN1/KCNC1/KCNE1/KCNE4/KCNE5/KCNG2/KCNG3/KCNH2/KCNH3/KCNH4/KCNH5/KCNH6/KCNH7/KCNIP2/KCNJ10/KCNJ11/KCNJ5/KCNJ9/KCNK2/KCNK3/KCNK5/KCNMA1/KCNMB3/KCNQ1/KCNQ2/KCNQ3/KCNS2/KCNV2/MAPK8IP2/MAPT/MPP2/MYH14/NLGN3/NPAS4/NPFF/NPPA/OPRD1/P2RX6/PID1/PRKN/RANGRF/RELN/RIMS2/RIMS3/RYR2/SCN10A/SCN1A/SCN3A/SCN9A/SEZ6/SHANK1/SLC24A4/SLC4A11/SLC4A3/SLC8A2/SLC8A3/SNTA1/STOX1/STX1B/TNF/TRDN/TRPC5/UCP2",116,"2"
"GO:0035725","sodium ion transmembrane transport","61/2482","188/18986",0.324468085106383,2.48201090404101,7.91928700904837,4.38233595999914e-12,5.14836828580699e-09,4.7799752860538e-09,"AGT/ASIC1/ASIC3/ASIC4/ATP1A2/ATP4A/CAV3/CNGB1/FGF14/FXYD2/GRIN1/GRIN2A/HCN2/HCN3/MCOLN3/NPPA/OSR1/PKD2L1/RANGRF/SCN10A/SCN1A/SCN3A/SCN9A/SCNN1A/SCNN1D/SLC12A1/SLC12A3/SLC13A4/SLC13A5/SLC17A1/SLC17A2/SLC17A3/SLC17A7/SLC23A1/SLC24A3/SLC24A4/SLC34A2/SLC34A3/SLC38A4/SLC4A10/SLC4A11/SLC4A5/SLC4A9/SLC5A10/SLC5A4/SLC6A12/SLC6A13/SLC6A14/SLC6A17/SLC6A20/SLC6A3/SLC8A2/SLC8A3/SLC9A2/SLC9A3/SLC9A4/SLC9C2/SNTA1/TRPM2/WNK2/WNK4",61,"2"
"GO:0006814","sodium ion transport","73/2482","251/18986",0.290836653386454,2.2247480665573,7.57475091755799,1.4358506669676e-11,1.40569780296128e-08,1.30511268518581e-08,"AGT/ASIC1/ASIC3/ASIC4/ATP1A2/ATP4A/CAV3/CNGA4/CNGB1/FGF14/FXYD2/GRIN1/GRIN2A/HCN2/HCN3/KCNQ1/MCOLN3/NKAIN1/NPPA/OSR1/PKD2L1/PON3/PRSS8/RANGRF/SCN10A/SCN1A/SCN3A/SCN9A/SCNN1A/SCNN1D/SLC10A4/SLC10A5/SLC12A1/SLC12A3/SLC13A4/SLC13A5/SLC17A1/SLC17A2/SLC17A3/SLC17A7/SLC23A1/SLC24A3/SLC24A4/SLC34A2/SLC34A3/SLC38A11/SLC38A3/SLC38A4/SLC4A10/SLC4A11/SLC4A5/SLC4A9/SLC5A10/SLC5A11/SLC5A12/SLC5A4/SLC6A12/SLC6A13/SLC6A14/SLC6A17/SLC6A20/SLC6A3/SLC8A2/SLC8A3/SLC9A2/SLC9A3/SLC9A4/SLC9C2/SNTA1/SPTBN4/TRPM2/WNK2/WNK4",73,"2"
"GO:0043269","regulation of monoatomic ion transport","112/2482","480/18986",0.233333333333333,1.78487778673113,6.75426288031865,3.66010955404944e-10,3.07135478864091e-07,2.85158309767371e-07,"ABCB1/ABCC9/ADCYAP1R1/ADORA1/ADRA2A/AGT/AKAP5/ATP1A2/ATP2C2/ATP4A/BEST3/CA7/CACNA1D/CACNA1F/CACNB2/CAMK2B/CASQ1/CAV3/CCL3/CCL4/CCR1/CD19/CD4/CD84/CFTR/CHRM1/CXCR3/DPP6/DRD3/EFHB/EGF/FGF14/FKBP1B/FXYD2/GALR2/GCK/GJC2/GPR35/GRAMD2A/GRIN1/GRIN2A/GRIN2C/GRIN2D/GRIN3B/GRM6/HAP1/HOMER2/HPCA/HRC/IL13/JPH1/JPH2/JPH3/KCNAB3/KCNC1/KCNE1/KCNE4/KCNE5/KCNG2/KCNG3/KCNH2/KCNIP2/KCNIP3/KCNIP4/KCNJ1/KCNJ10/KCNJ11/KCNJ13/KCNJ16/KCNJ5/KCNJ6/KCNJ9/KCNQ1/KCNRG/KCNS2/LILRA2/LILRA5/LILRB1/LILRB2/LRRC55/METTL21C/NKAIN1/NPPA/OPRD1/OPRK1/OSR1/PDZK1/PLP1/PPP3R2/PRKG2/PRSS8/PSEN2/RANGRF/RELN/RGS7/RGS9/RYR2/SCN10A/SLC31A2/SNTA1/SPTBN4/STAC2/STAC3/TACR2/TF/THY1/TMC2/TRDN/UCN/UCP2/WNK2/WNK4",112,"2"
"GO:0060294","cilium movement involved in cell motility","62/2482","215/18986",0.288372093023256,2.20589547064445,6.89599234774246,7.07852049813778e-10,5.19740367575766e-07,4.82550193432261e-07,"ARMC12/BBS1/C2CD6/CATSPER1/CCDC38/CELF3/CFAP46/CFAP47/CFAP53/CFAP61/CFAP65/CFAP97D1/DDX4/DNAH6/DNAH9/DNAI1/DNAI3/DRC1/DRC7/EFCAB6/EFHB/FSIP2/GAS2L2/HOATZ/IQUB/IRGC/KLC3/LDHC/MAFIP/MEIG1/MNS1/ODAD3/PFN4/PLA2G3/RGN/RIBC1/RIBC2/RNASE10/ROPN1L/RSPH4A/RSPH6A/RSPH9/SEPTIN4/SLC22A14/SLC22A16/SPAG6/SPAG8/SPEM3/TAC1/TAC3/TACR2/TCTE1/TEKT1/TEKT2/TEKT3/TEKT5/TMEM232/TSSK4/TSSK6/TTLL6/TTLL8/TTLL9",62,"2"
"GO:0007188","adenylate cyclase-modulating G protein-coupled receptor signaling pathway","73/2482","274/18986",0.266423357664234,2.03799914126234,6.71156426559986,1.15724839756801e-09,6.92987841747339e-07,6.43400893875412e-07,"ADCY1/ADCY2/ADCY5/ADCYAP1R1/ADGRB2/ADGRE2/ADGRF3/ADGRF4/ADGRG3/ADGRG5/ADM5/ADORA1/ADRA1A/ADRA2A/ADRB1/AKAP5/CACNA1D/CCR3/CHRM1/CHRM2/CHRM3/CHRM5/CRHR2/CXCR3/DRD3/GALR2/GCGR/GHRHR/GLP1R/GNA15/GNAT1/GPBAR1/GPR146/GPR26/GPR3/GPR61/GPR78/GPR88/GRIK3/GRM1/GRM2/GRM6/GRM7/GRM8/HTR1D/HTR4/HTR5A/HTR7/INSL3/LGR5/LPAR2/MC2R/NPY2R/OPRD1/OPRK1/OR51E2/OXER1/PF4/POMC/PSAPL1/PTGDR2/PTGER1/PTGIR/PTH1R/RAMP1/RGS1/RIMS2/RIT2/SSTR4/TAAR1/TCP11/TSHR/UCN2",73,"2"
"GO:0001539","cilium or flagellum-dependent cell motility","62/2482","218/18986",0.284403669724771,2.17553911095669,6.76967647667639,1.29773004072535e-09,6.92987841747339e-07,6.43400893875412e-07,"ARMC12/BBS1/C2CD6/CATSPER1/CCDC38/CELF3/CFAP46/CFAP47/CFAP53/CFAP61/CFAP65/CFAP97D1/DDX4/DNAH6/DNAH9/DNAI1/DNAI3/DRC1/DRC7/EFCAB6/EFHB/FSIP2/GAS2L2/HOATZ/IQUB/IRGC/KLC3/LDHC/MAFIP/MEIG1/MNS1/ODAD3/PFN4/PLA2G3/RGN/RIBC1/RIBC2/RNASE10/ROPN1L/RSPH4A/RSPH6A/RSPH9/SEPTIN4/SLC22A14/SLC22A16/SPAG6/SPAG8/SPEM3/TAC1/TAC3/TACR2/TCTE1/TEKT1/TEKT2/TEKT3/TEKT5/TMEM232/TSSK4/TSSK6/TTLL6/TTLL8/TTLL9",62,"2"
