"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Module"
"GO:0008380","RNA splicing","189/5098","484/18986",0.390495867768595,1.4542868861229,6.13379002819117,2.24698283201135e-09,1.42863168459282e-05,1.29520820927307e-05,"AAR2/ACIN1/AFF2/AHNAK2/ALYREF/AQR/ARGLU1/ARL6IP4/ARMC7/ARVCF/ATXN7/ATXN7L3/BCAS2/C2orf49/CASC3/CCNL2/CDC40/CDK11A/CDK13/CELF1/CENATAC/CIRBP/CLK2/CLK4/COIL/CRIPT/CRNKL1/CTNNBL1/CWC15/CWC27/CWF19L1/DBR1/DDX17/DDX20/DDX23/DDX39B/DDX47/DHX15/DHX16/DHX35/DNAJC17/ENY2/ESRP2/ESS2/FAM98B/FMR1/FRA10AC1/FUS/GEMIN7/GPATCH1/HABP4/HNRNPA1/HNRNPA3/HNRNPF/HNRNPH1/HNRNPH3/HNRNPL/HNRNPLL/HNRNPM/HOXB-AS3/ILF3/IVNS1ABP/IWS1/KAT2A/KHDRBS1/KHSRP/LGALS3/LSM5/LSM8/LUC7L/MAGOH/MBNL1/METTL16/METTL3/METTL4/MPHOSPH10/MTREX/NCBP2/NOL3/NSRP1/NUP98/PHF5A/PIK3R1/PLRG1/PNN/PPIG/PPIH/PPP1R9B/PPP4R2/PPWD1/PQBP1/PRDX6/PRPF19/PRPF3/PRPF38B/PRPF39/PRPF40B/PRPF6/PSIP1/PTBP3/RBFOX2/RBM10/RBM12/RBM15B/RBM25/RBM28/RBM4/RBM41/RBM6/RBM8A/RBMX/RBMX2/RBPMS/RBPMS2/REST/RNPS1/RNU11/RNU4-1/RNU5D-1/RNVU1-15/RNVU1-4/RNVU1-8/RP9/RPS26/RTRAF/SART1/SCAF11/SETX/SF3A1/SF3A2/SF3B1/SF3B4/SFSWAP/SGF29/SLC38A2/SMN1/SMN2/SNRNP27/SNRNP48/SNRPB2/SNRPD3/SNRPG/SNRPGP15/SREK1/SREK1IP1/SRPK2/SRPK3/SRRM1/SRSF10/SRSF11/SRSF2/SRSF3/SRSF4/SRSF7/STRAP/SUGP1/SUGP2/TADA3/TAF10/TAF15/TAF5L/TCERG1/THOC1/THOC5/THRAP3/TIA1/TMBIM6/TRA2A/TRPT1/TRRAP/TTF2/TXNL4B/U2AF1/U2AF1L4/U2AF2/UPF3A/UPF3B/USB1/USP22/USP39/WDR83/WEE2-AS1/YBX1/ZC3H13/ZCCHC8/ZMAT5/ZNF326/ZPR1/ZRSR2",189,"0"
"GO:0006302","double-strand break repair","131/5098","323/18986",0.405572755417957,1.51043631509716,5.60579820677195,5.02129394859897e-08,0.000122423974394196,0.000110990494161126,"ABRAXAS1/ACTR8/ARID1A/ARID1B/ASTE1/ATM/ATP23/AUNIP/BABAM1/BABAM2/BCL7A/BCL7B/BCL7C/BLM/BRCA1/BRD8/BRME1/CHD4/CSNK2A1/DCLRE1B/DCLRE1C/DDX11/DEK/DMAP1/DNA2/DPF3/EME2/EP400/ERCC1/ERCC5/ERCC6/FAN1/FANCM/FEN1/FIGNL1/FUS/GEN1/GINS4/HELB/HMGB1/HSF2BP/HUS1/HUS1B/IFFO1/INIP/KMT5A/KMT5B/KMT5C/LIG4/MBTD1/MCM7/MCM8/MCMDC2/MGMT/MIR221/MLH1/MORF4L1/MPND/MRE11/MRGBP/NSD2/NSMCE3/NSMCE4A/NUCKS1/OGG1/OTUB1/PARP2/PBRM1/PHF10/PIAS4/PNKP/POLB/POLL/POLM/POT1/PPP4C/PPP4R2/PPP4R3A/PRPF19/RAD21/RAD51/RAD51AP1/RAD51B/RAD52/RAD54B/REC8/RECQL/RECQL4/RECQL5/REV3L/RFWD3/RIF1/RMI1/RMI2/RNF138/RPA2/RPA4/RTEL1/RUVBL2/SETX/SFR1/SHLD3/SLF1/SLX4/SMARCA2/SMARCD2/SMARCD3/SMARCE1/SMC5/SWSAP1/TDP1/TERF2IP/TIMELESS/TONSL/TOP2B/TOP3A/TOPBP1/TP53BP1/TRRAP/UBE2N/UBQLN4/UIMC1/USP51/UVRAG/WDR48/WRAP53/WRN/XRCC1/YY1/ZFYVE26/ZMYND8",131,"0"
"GO:0006282","regulation of DNA repair","98/5098","227/18986",0.431718061674009,1.60780681030654,5.5816038714922,7.17542263106296e-08,0.000122423974394196,0.000110990494161126,"ABRAXAS1/ACTR8/ARID1A/ARID1B/ATXN7/ATXN7L3/AUNIP/BABAM1/BABAM2/BCL7A/BCL7B/BCL7C/BRCA1/BRD8/CBX8/CEBPG/CSNK2A1/DDX11/DEK/DMAP1/DPF3/EGFR/ENY2/EP400/ERCC6/FAM168A/FIGNL1/FUS/HDAC10/HELB/HMGB1/IER3/INO80B/INO80C/KAT2A/KMT5A/KMT5B/KMT5C/MBTD1/MCRS1/MGMT/MIR221/MORF4L1/MRE11/MRGBP/NFRKB/NPAS2/NSD2/OGG1/OTUB1/PBRM1/PHF10/PIAS4/PNKP/POLH/POT1/PPP4C/PPP4R2/PPP4R3A/RAD51/RAD51AP1/RAD52/RECQL5/RIF1/RMI2/RPA2/RPS3/RTEL1/RUVBL2/SGF29/SHLD3/SLF1/SMARCA2/SMARCD2/SMARCD3/SMARCE1/TADA3/TAF10/TAF2/TAF4/TAF5L/TERF2/TERF2IP/TIMELESS/TMEM161A/TOP2B/TP53BP1/TRRAP/UBE2N/UBQLN4/UIMC1/USP1/USP22/USP51/WDR48/WRAP53/XRCC1/YY1",98,"0"
"GO:0051054","positive regulation of DNA metabolic process","121/5098","295/18986",0.410169491525424,1.52755550531614,5.53284190786286,7.70204305720015e-08,0.000122423974394196,0.000110990494161126,"ABRAXAS1/ACD/ACTR8/ARID1A/ARID1B/ATM/ATRX/AURKB/BABAM1/BABAM2/BCL7A/BCL7B/BCL7C/BRCA1/BRD8/CBX8/CCNA2/CCT2/CCT3/CCT5/CCT6A/CD40/CDC25A/CDC42/CDKN1A/CDKN1B/CDT1/CEBPG/CHTF8/CIZ1/CLCF1/CTNNB1/DBF4/DDX11/DHX36/DMAP1/DNA2/DPF3/DSCC1/EGFR/EP400/ERCC1/ERCC6/EXOSC3/EXOSC6/FAM168A/FGF2/FGFR1/FGFR4/FUS/GFER/GLI2/HDAC10/HGF/HMGB1/HNRNPA1/IGF1R/INO80B/INO80C/KMT5B/KMT5C/MBTD1/MCRS1/MGMT/MLH1/MORF4L1/MRE11/MRGBP/NAF1/NEK7/NFRKB/NPAS2/NSD2/PBRM1/PHF10/PIAS4/PNKP/POT1/PRIM2/PRKCD/PRKCQ/PRKD2/PTK2B/PTPRC/RAD51/RAD51AP1/RFC5/RGCC/RIF1/RPS3/RTEL1/RUVBL2/SHLD3/SLF1/SLX4/SMARCA2/SMARCA5/SMARCD2/SMARCD3/SMARCE1/ST20/STN1/TERF2/TERF2IP/TGFB1/TIMELESS/TMEM161A/TNKS2/TOP2B/TP53BP1/TRRAP/UBE2N/UIMC1/USP1/WDR48/WEE1/WIZ/WRAP53/WRN/XRCC1/YY1",121,"0"
"GO:0016236","macroautophagy","146/5098","372/18986",0.39247311827957,1.46165057349076,5.44816631780937,1.02303053971551e-07,0.000130088563430224,0.000117939268115413,"ABI2/ACBD5/ADRB2/AMBRA1/AP4M1/ARHGAP26/ARL8B/ATG101/ATG12/ATG13/ATG16L1/ATG2A/ATG2B/ATG3/ATG5/ATG9A/ATG9B/ATM/ATP2A2/ATP5IF1/ATP6V1C2/ATP6V1D/ATP6V1E1/ATP6V1E2/BNIP3/CALCOCO2/CDC37/CDK5RAP3/CHMP3/CHMP4A/CHMP4C/CHMP7/CLN3/CSNK2A1/CTSK/DCN/DDRGK1/EHMT2/EMC6/EXOC1/EXOC7/FBXO7/FEZ1/FUNDC1/GAA/GABARAPL2/GNAI3/GSK3A/HDAC10/HDAC6/HK2/HTT/KDR/KLHL3/LAMP2/LARP1/LRSAM1/MAP1LC3A/MAP1LC3B2/MAP3K7/MAPK8/MFN2/MFSD8/MOAP1/MTM1/MTMR14/MTMR8/MUL1/NBR1/NEDD4/NIPSNAP1/NIPSNAP3A/NOD1/NRBP2/PDCD6IP/PHF23/PIK3C2B/PIK3C3/PIKFYVE/PIM2/PINK1/PIP4K2A/PIP4K2C/PRKAA2/QSOX1/RAB1A/RAB1B/RAB2A/RAB33B/RAB3GAP2/RAB43/RETREG1/RNF213/RNF31/RNF5/RUBCN/SH3GLB1/SLC25A5/SNX30/SNX32/SNX4/SNX5/SPATA33/SPTLC1/SPTLC2/SREBF2/STAM2/STBD1/STX12/TBC1D12/TBC1D14/TBC1D25/TBK1/TCIRG1/TMEM39A/TMEM41B/TOMM7/TSC2/TSG101/UBQLN4/UBXN6/UFL1/UFM1/ULK2/USP36/UVRAG/VAMP8/VMP1/VPS13C/VPS13D/VPS26A/VPS28/VPS33A/VPS37A/VPS37B/VPS37C/VPS41/WDFY3/WDR45/WDR45B/WDR81/WIPI1/WIPI2/ZFYVE26/ZNRF1/ZNRF2",146,"0"
"GO:0006310","DNA recombination","138/5098","352/18986",0.392045454545455,1.46005786582974,5.27856785855527,2.44081683429976e-07,0.000258645223874631,0.000234489701484658,"ACTR8/ASTE1/ATM/AUNIP/BLM/BRCA1/BRD8/BRME1/CCNB1IP1/CD40/CENPS/CHD4/CLCF1/CSNK2A1/CTBP1-DT/DCLRE1C/DMAP1/EME2/EP400/ERCC1/ERCC5/ERCC6/EXO1/EXOSC3/EXOSC6/FAN1/FANCM/FEN1/FIGNL1/FUS/GEN1/GINS4/H1-0/H1-2/H1-3/H1-4/H1-5/HDAC10/HELB/HFM1/HMGB1/HSF2BP/HSPD1/HUS1/HUS1B/IHO1/IL7R/INIP/INO80B/INO80C/KIN/KMT5A/KMT5B/KMT5C/LIG4/MBTD1/MCM7/MCM8/MCMDC2/MCRS1/MLH1/MLH3/MORF4L1/MRE11/MRGBP/MSH3/MSH5/MSH6/NDFIP1/NFRKB/NSD2/NSMCE3/NSMCE4A/NUCKS1/PAGR1/PCYT1A/PIAS4/POLB/POLL/POLM/PPP4C/PPP4R2/PTPRC/RAD21/RAD51/RAD51AP1/RAD51B/RAD52/RAD54B/REC8/RECQL/RECQL4/RECQL5/REV3L/RFWD3/RIF1/RMI1/RMI2/RNF138/RNF212/RNF212B/RPA2/RPA4/RTEL1/RUVBL2/SETX/SFR1/SHLD3/SLF1/SLX4/SMC5/SWAP70/SWSAP1/TEP1/TERF2/TERF2IP/TGFB1/TIMELESS/TONSL/TOP2A/TOP2B/TOP3A/TOP3B/TOPBP1/TP53BP1/TRRAP/UBE2N/UBQLN4/UBR2/USP51/WDR48/WRAP53/WRN/XRCC1/YY1/ZFYVE26/ZMYND8/ZRANB3",138,"0"
"GO:0000724","double-strand break repair via homologous recombination","81/5098","188/18986",0.430851063829787,1.60457793210521,5.04731901592868,1.0378617669553e-06,0.000832695561379078,0.000754928046574036,"ASTE1/ATM/AUNIP/BLM/BRCA1/BRD8/CHD4/CSNK2A1/DMAP1/EP400/ERCC5/ERCC6/FAN1/FANCM/FEN1/FIGNL1/FUS/GEN1/GINS4/HELB/HUS1/HUS1B/INIP/KMT5A/MBTD1/MCM7/MCM8/MCMDC2/MORF4L1/MRE11/MRGBP/NSMCE3/NSMCE4A/NUCKS1/PIAS4/POLL/PPP4C/PPP4R2/RAD21/RAD51/RAD51AP1/RAD51B/RAD52/RAD54B/REC8/RECQL/RECQL4/RECQL5/REV3L/RFWD3/RIF1/RMI1/RMI2/RNF138/RPA2/RPA4/RTEL1/RUVBL2/SFR1/SHLD3/SLF1/SLX4/SMC5/SWSAP1/TERF2IP/TIMELESS/TONSL/TOP3A/TOPBP1/TP53BP1/TRRAP/UBE2N/UBQLN4/USP51/WDR48/WRAP53/WRN/XRCC1/YY1/ZFYVE26/ZMYND8",81,"0"
"GO:0002181","cytoplasmic translation","73/5098","165/18986",0.442424242424242,1.64767882829868,5.06250759721877,1.04774528012467e-06,0.000832695561379078,0.000754928046574036,"CNBP/CSDE1/DHX36/DRG1/DRG2/EIF2S2/EIF2S3B/EIF3C/EIF3E/EIF3F/EIF3G/EIF3J/EIF3K/EIF3L/EIF4A1/EIF4G1/ETF1/FMR1/METTL3/NCBP2/NCK1/NMNAT2/PKP1/RACK1/RBM4/RPL10/RPL12/RPL13/RPL14/RPL15/RPL18A/RPL19/RPL21/RPL22/RPL23/RPL23A/RPL26/RPL26L1/RPL27/RPL27A/RPL28/RPL29/RPL30/RPL34/RPL35/RPL36A/RPL37/RPL37A/RPL4/RPL5/RPL6/RPL7/RPL7A/RPL8/RPL9/RPLP0/RPLP1/RPS10/RPS16/RPS17/RPS2/RPS23/RPS26/RPS28/RPS3/RPS4X/SARS1/SLBP/UBA52/YBX1/YBX3/YTHDF2/ZC3H15",73,"0"
"GO:0000725","recombinational repair","82/5098","194/18986",0.422680412371134,1.57414874642573,4.86994600904254,2.25748135732179e-06,0.00159478516331688,0.0014458442003151,"ASTE1/ATM/AUNIP/BLM/BRCA1/BRD8/CHD4/CSNK2A1/CTBP1-DT/DMAP1/EP400/ERCC5/ERCC6/FAN1/FANCM/FEN1/FIGNL1/FUS/GEN1/GINS4/HELB/HUS1/HUS1B/INIP/KMT5A/MBTD1/MCM7/MCM8/MCMDC2/MORF4L1/MRE11/MRGBP/NSMCE3/NSMCE4A/NUCKS1/PIAS4/POLL/PPP4C/PPP4R2/RAD21/RAD51/RAD51AP1/RAD51B/RAD52/RAD54B/REC8/RECQL/RECQL4/RECQL5/REV3L/RFWD3/RIF1/RMI1/RMI2/RNF138/RPA2/RPA4/RTEL1/RUVBL2/SFR1/SHLD3/SLF1/SLX4/SMC5/SWSAP1/TERF2IP/TIMELESS/TONSL/TOP3A/TOPBP1/TP53BP1/TRRAP/UBE2N/UBQLN4/USP51/WDR48/WRAP53/WRN/XRCC1/YY1/ZFYVE26/ZMYND8",82,"0"
"GO:0006383","transcription by RNA polymerase III","34/5098","62/18986",0.548387096774194,2.04230628076792,4.98046729073996,2.8554992432892e-06,0.00181552641888327,0.00164596987960544,"AR/BAZ1B/BDP1/CHD8/CRCP/DDX21/DEK/DHX36/ERCC6/GTF3C3/ICE1/ICE2/INHBA/IVNS1ABP/MAF1/NAB2/POLR1C/POLR1D/POLR2F/POLR3A/POLR3C/POLR3D/POLR3E/POLR3F/RO60/SF3B1/SMARCA5/SNAPC1/SNAPC2/SNAPC5/TBP/TENM1/ZNF345/ZNF76",34,"0"
